Layer,Kernel/Type,Stride,Output Dims
CMKS_Branch1,3x3,1,1x10x128x128
CMKS_Branch2,5x5,1,1x10x128x128
CMKS_Branch3,7x7,1,1x10x128x128
Fusion,Concat,-,30x128x128
Ghost_Stage_1,Ghost(3x3),2,16 channels
Ghost_Stage_2,Ghost(3x3),1,16 channels
Ghost_Stage_3,Ghost(5x5),2,28 channels
Ghost_Stage_4,Ghost(5x5),1,28 channels
Ghost_Stage_5,Ghost(3x3),2,56 channels
Ghost_Stage_6,Ghost(3x3),1,56 channels
Ghost_Stage_7,Ghost(3x3),1,56 channels
Ghost_Stage_8,Ghost(3x3),1,78 channels
Physics_Branch,Energy,-,1x128x128
Classifier,Linear,-,10 Classes
